split,fold,task,target,feature_set,model,transform,n_features,n_train,n_test,original_n,original_mae,original_rmse,original_r2,original_pearson_r,original_spearman_r,original_bias,modelscale_mae,modelscale_rmse,modelscale_r2,modelscale_pearson_r,modelscale_spearman_r,modelscale_bias,accuracy,balanced_accuracy,macro_f1,experiment_group,experiment_family,validation_design,preset_or_model_config,station_temporal_available
temporal,,regression,SS,S2 only,Stacking_RidgeMeta,log1p,32,276,114,114.0,18.537465022191007,59.54732064425203,0.0469460218694759,0.3220367187138591,0.6846395951451724,-11.353274576090692,0.5310649858208896,0.6765344489095062,0.4142265719581768,0.6687486592776221,0.6846395951451724,-0.0147329919606934,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,TCB,S2 only,DummyMedian,log1p,32,276,114,114.0,4568.760532830994,9202.026686774125,-0.1090290432234599,1.1960644689008606e-16,,-2885.247870245839,1.496600921700769,1.9312612548509016,-0.0667053639266883,-4.291546295859148e-16,,0.4829466603526022,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,TCB,S2 only,Ridge,log1p,32,276,114,114.0,4422.166200259072,8929.990404404754,-0.0444266073462771,0.2789433074252523,0.3620739777200699,-2959.1118413324803,1.366283917794227,1.6756273451996195,0.1969967521785453,0.4479570817743117,0.3620739777200699,0.1084057049349561,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,TCB,S2 only,ElasticNet,log1p,32,276,114,114.0,4596.044788314935,8683.523176587842,0.012430023567044,0.3006181712428765,0.4120974629681531,-2437.3371571165912,1.36923744136247,1.6613010942017974,0.2106690614149564,0.4790614820942931,0.4120974629681531,0.1223392762164168,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,TCB,S2 only,RandomForest,log1p,32,276,114,114.0,4378.26117329874,8762.949992089392,-0.0057188945038471,0.3047049739024661,0.4092052520549287,-2724.844957804914,1.3213539216371335,1.6479999797464295,0.223257930995017,0.4782703385473059,0.4092052520549287,0.1367781612552477,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,TCB,S2 only,ExtraTrees,log1p,32,276,114,114.0,4359.652514042716,8678.81171710158,0.0135013936935562,0.3256218151460178,0.3566911391761025,-2637.047310310793,1.3479329088180931,1.6955371715606815,0.1778007918793496,0.441332115392901,0.3566911391761025,0.091176626494142,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,TCB,S2 only,XGBoost,log1p,32,276,114,114.0,4624.208057585406,8759.322753966573,-0.0048864746188237,0.296553806496349,0.3345350998941506,-1882.0512637166137,1.4193203589888084,1.7848674165226273,0.0888825881201116,0.3848877032013117,0.3345350998941506,0.1840478454305664,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,TCB,S2 only,CatBoost,log1p,32,276,114,114.0,4669.6116458999495,8945.236361821766,-0.0479959003865249,0.2180792231251806,0.3444529900524026,-2384.0132039908976,1.3909684483348004,1.744114775579988,0.1300134346924589,0.4034121154834138,0.3444529900524026,0.127317490852624,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,TCB,S2 only,Stacking_RidgeMeta,log1p,32,276,114,114.0,4342.175471810247,8932.769459362657,-0.0450767694290143,0.2991655002530851,0.4035303529418839,-3015.0733568671467,1.3396125326742565,1.6668196925299443,0.2054162683960957,0.470073645924208,0.4035303529418839,0.1664834145440429,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
temporal,,regression,FCB,S2 only,DummyMedian,log1p,32,276,114,114.0,1571.8274316473146,3387.4677497055336,-0.1475477542302365,5.4873769906492056e-17,,-1214.663796422861,1.6635378740521922,2.0712894890048563,-0.0197285478089652,,,0.2881018663768442,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False
