split,fold,task,target,feature_set,model,transform,n_features,n_train,n_test,original_n,original_mae,original_rmse,original_r2,original_pearson_r,original_spearman_r,original_bias,modelscale_mae,modelscale_rmse,modelscale_r2,modelscale_pearson_r,modelscale_spearman_r,modelscale_bias,accuracy,balanced_accuracy,macro_f1,experiment_group,experiment_family,validation_design,preset_or_model_config,station_temporal_available,rank_metric
temporal,,regression,DO,S2 only,Stacking_RidgeMeta,raw,32,276,114,114.0,0.8328412119014084,1.045986195304201,0.1984213957333737,0.4910737113299385,0.5124712000261236,-0.2070983319506218,0.8328412119014084,1.045986195304201,0.1984213957333737,0.4910737113299385,0.5124712000261236,-0.2070983319506218,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,1.045986195304201
temporal,,regression,DO,Context only,Stacking_RidgeMeta,raw,106,276,114,114.0,0.8005580097150837,1.0492847972180015,0.1933577382900825,0.5969821850080749,0.5416833912262404,-0.2092628296358155,0.8005580097150837,1.0492847972180015,0.1933577382900825,0.5969821850080749,0.5416833912262404,-0.2092628296358155,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,1.0492847972180015
temporal,,regression,DO,S2 only,ExtraTrees,raw,32,276,114,114.0,0.8124279448621551,1.0508868032056204,0.1908927598379797,0.4686135037408196,0.4860056272747211,-0.1897940267335003,0.8124279448621551,1.0508868032056204,0.1908927598379797,0.4686135037408196,0.4860056272747211,-0.1897940267335003,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,1.0508868032056204
temporal,,regression,DO,S2 only,RandomForest,raw,32,276,114,114.0,0.8218009527019213,1.054014585908655,0.1860692569915277,0.4747482551278652,0.5034981028817249,-0.2272980172754701,0.8218009527019213,1.054014585908655,0.1860692569915277,0.4747482551278652,0.5034981028817249,-0.2272980172754701,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,1.054014585908655
temporal,,regression,DO,S2 only,CatBoost,raw,32,276,114,114.0,0.846697871145188,1.055058231284611,0.1844566121253468,0.4767176532441399,0.4739820822071928,-0.238027846833436,0.846697871145188,1.055058231284611,0.1844566121253468,0.4767176532441399,0.4739820822071928,-0.238027846833436,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,1.055058231284611
temporal,,regression,DO,S2 only,XGBoost,raw,32,276,114,114.0,0.8690539970732573,1.0745152749782203,0.1540992731450403,0.4792965744712743,0.4710329107755349,-0.2626196635396857,0.8690539970732573,1.0745152749782203,0.1540992731450403,0.4792965744712743,0.4710329107755349,-0.2626196635396857,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,1.0745152749782203
temporal,,regression,DO,S2 + Context,Stacking_RidgeMeta,raw,138,276,114,114.0,0.8064348599189403,1.1209453382008792,0.0794167235333221,0.5705481636954556,0.559058386103137,-0.1722272411490175,0.8064348599189403,1.1209453382008792,0.0794167235333221,0.5705481636954556,0.559058386103137,-0.1722272411490175,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,1.1209453382008792
temporal,,regression,DO,S2 only,ElasticNet,raw,32,276,114,114.0,0.87550942805292,1.1250796715600635,0.0726135070559472,0.3367047800300896,0.3674108557612806,-0.1299519726666511,0.87550942805292,1.1250796715600635,0.0726135070559472,0.3367047800300896,0.3674108557612806,-0.1299519726666511,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,1.1250796715600635
temporal,,regression,DO,S2 only,Ridge,raw,32,276,114,114.0,0.8928716413247489,1.1277597053395216,0.0681900205453575,0.3245983531343999,0.3401998880326459,-0.210575196271353,0.8928716413247489,1.1277597053395216,0.0681900205453575,0.3245983531343999,0.3401998880326459,-0.210575196271353,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,1.1277597053395216
temporal,,regression,DO,S2 only,DummyMedian,raw,32,276,114,114.0,0.9614035087719298,1.1904503054829971,-0.0382854125165936,,,-0.2285964912280698,0.9614035087719298,1.1904503054829971,-0.0382854125165936,,,-0.2285964912280698,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,1.1904503054829971
temporal,,regression,DO,Context only,DummyMedian,raw,106,276,114,114.0,0.9614035087719298,1.1904503054829971,-0.0382854125165936,,,-0.2285964912280698,0.9614035087719298,1.1904503054829971,-0.0382854125165936,,,-0.2285964912280698,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,1.1904503054829971
temporal,,regression,DO,S2 + Context,DummyMedian,raw,138,276,114,114.0,0.9614035087719298,1.1904503054829971,-0.0382854125165936,,,-0.2285964912280698,0.9614035087719298,1.1904503054829971,-0.0382854125165936,,,-0.2285964912280698,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,1.1904503054829971
temporal,,regression,DO,Context only,Ridge,raw,106,276,114,114.0,1.192782211383391,3.313425212313008,-7.043564632524516,0.2458797664405557,0.4585788565097323,-0.0146115719912647,1.6100354816186604,5.201289243134644,-18.820573745095768,0.0906897364133098,0.4585191874892833,-0.4318648422265342,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,3.313425212313008
temporal,,regression,DO,Context only,ElasticNet,raw,106,276,114,114.0,1.2080637983305147,3.4334556965721754,-7.636884393940697,0.2719143260746499,0.521127344307914,0.0490275248126511,1.6972728963164818,5.713397014499415,-22.91569564195339,0.0942552768629221,0.5210675486222472,-0.4401815731733159,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,3.4334556965721754
temporal,,regression,DO,S2 + Context,Ridge,raw,138,276,114,114.0,1.1617345517216977,3.5581321815018105,-8.275522136307293,0.2733872810202042,0.5478522389973315,0.1739051154437176,1.6445780689803997,5.750851922730868,-23.23028828054492,0.1012682098940402,0.5477923891918174,-0.3089384018149847,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,3.5581321815018105
temporal,,regression,DO,S2 + Context,ElasticNet,raw,138,276,114,114.0,1.1944801885586072,3.777587502013239,-9.454981690412229,0.2739825451387273,0.5559098129759961,0.2426110293664802,1.732120776815477,6.219641133582481,-27.34163267442186,0.0960365456307666,0.5558499468533113,-0.2950295588903894,,,,Manual baseline/stacking: temporal,Manual baseline + stacking,temporal train 2562-2566 test 2567-2568,Numeric-only sklearn-style pipeline; imputer median; Ridge/ElasticNet scaled; RF/ExtraTrees; XGBoost; CatBoost; stacking with OOF meta model,False,3.777587502013239
