target,feature_set,model,transform,is_dummy,n_test_sum,selection_metric_name,selection_rmse_mean,rank_selection_rmse,selection_r2_mean,rank_selection_r2,selection_spearman_r_mean,rank_selection_spearman,original_rmse_mean,original_rmse_std,original_mae_mean,original_r2_mean,original_pearson_r_mean,original_spearman_r_mean,original_bias_mean,modelscale_rmse_mean,modelscale_rmse_std,modelscale_r2_mean,modelscale_spearman_r_mean,rank_original_rmse,rank_modelscale_rmse
Turbidity,Context only,ElasticNet,log1p,False,114,modelscale_rmse_mean,3.945860104090839,8.0,-14.14439217732378,8.0,-0.1530944455293822,7.0,18599501.819251847,32182079.25088252,3019130.237690656,-156027503157.51758,-0.088710572114925,-0.1640345444250007,3019082.464135613,3.945860104090839,1.9538298380597772,-14.14439217732378,-0.1530944455293822,7.0,8.0
Turbidity,S2 + Context,RandomForest,log1p,False,114,modelscale_rmse_mean,0.8629306985042625,1.0,0.2976872586353949,1.0,0.57832501108682,1.0,53.05086169959839,26.68665571703332,25.1903643115067,0.1782450631833765,0.5611619509439619,0.57832501108682,-15.77130573492554,0.8629306985042625,0.1583785648912211,0.2976872586353949,0.57832501108682,2.0,1.0
Turbidity,S2 + Context,CatBoost,log1p,False,114,modelscale_rmse_mean,0.883823639537172,2.0,0.2697131801438031,2.0,0.5744206904291883,2.0,53.74205308881485,27.87272491621657,25.306629826660707,0.1529937899873705,0.5267067146945109,0.5744206904291883,-16.64309011630682,0.883823639537172,0.1711707296842927,0.2697131801438031,0.5744206904291883,4.0,2.0
Turbidity,S2 + Context,Stacking_RidgeMeta,log1p,False,114,modelscale_rmse_mean,0.8903405755358017,3.0,0.2589701326607335,3.0,0.5144533392465752,3.0,53.70387937924378,29.508521732062352,24.913133923142546,0.1728460285155269,0.5115014695642556,0.5144533392465752,-16.76450352282555,0.8903405755358017,0.1924000594745472,0.2589701326607335,0.5144533392465752,3.0,3.0
Turbidity,S2 + Context,ExtraTrees,log1p,False,114,modelscale_rmse_mean,0.9173012935554382,4.0,0.2116622823520818,4.0,0.4835943782444765,5.0,55.29882030567301,29.229854757320467,26.08321205068967,0.1093200838997126,0.5043057095475433,0.4835943782444765,-17.391014315437054,0.9173012935554382,0.2074894407310004,0.2116622823520818,0.4835943782444765,5.0,4.0
Turbidity,S2 + Context,XGBoost,log1p,False,114,modelscale_rmse_mean,0.93173079346971,5.0,0.1865796317165477,5.0,0.4888470509421853,4.0,51.68944317226226,28.35154022239083,25.83375838349501,0.2117665137306769,0.5494134470009371,0.4888470509421853,-14.847161222275632,0.93173079346971,0.1581852107276137,0.1865796317165477,0.4888470509421853,1.0,5.0
Turbidity,S2 + Context,DummyMedian,log1p,True,114,modelscale_rmse_mean,1.0935996092749751,6.0,-0.1122490179485132,6.0,,,62.4456873689846,30.23580236802634,29.07938596491228,-0.1415583981134537,,,-23.041666666666668,1.0935996092749751,0.1994178672366975,-0.1122490179485132,,6.0,6.0
Turbidity,S2 + Context,Ridge,log1p,False,114,modelscale_rmse_mean,2.0588673675690345,7.0,-3.5385482912929507,7.0,0.2059694833405239,6.0,2843.310187952549,4783.376916094982,495.8104405928077,-3513.8923270481087,0.1288046308353617,0.2063807364104759,457.94279857442535,2.0588673675690345,1.4383940381881894,-3.5385482912929507,0.2059694833405239,7.0,7.0
Turbidity,S2 + Context,ElasticNet,log1p,False,114,modelscale_rmse_mean,2.773670414411393,8.0,-6.553434830394035,8.0,0.0073645759537217,7.0,10007400.954431351,17332338.9160151,1623512.2950163065,-45227741612.71429,0.0530065808444044,-0.0030615931228562,1623469.7704166437,2.773670414411393,1.4360708756064775,-6.553434830394035,0.0073645759537217,8.0,8.0
SS,S2 only,Ridge,log1p,False,114,modelscale_rmse_mean,0.7062139360522002,1.0,0.2780118085215824,1.0,0.6449140829030501,1.0,47.30133031538632,44.89482698514576,19.35913244752104,0.195596126216739,0.4964133972949527,0.6449140829030501,-11.484308177366437,0.7062139360522002,0.1803249507695099,0.2780118085215824,0.6449140829030501,1.0,1.0
SS,S2 only,ElasticNet,log1p,False,114,modelscale_rmse_mean,0.7232996634190241,2.0,0.2454235046746573,2.0,0.6137880254978961,2.0,47.41101592771856,44.387525795248216,19.356416024276488,0.1833973804006317,0.4565954320823979,0.6137880254978961,-10.77135287204237,0.7232996634190241,0.1548055010859129,0.2454235046746573,0.6137880254978961,2.0,2.0
SS,S2 only,Stacking_RidgeMeta,log1p,False,114,modelscale_rmse_mean,0.7470065206545445,3.0,0.1927385903542242,3.0,0.5756917459806695,3.0,48.26353306905845,44.432825386973576,20.10316352718887,0.1367825589730213,0.400956760183935,0.5756917459806695,-10.666580471363066,0.7470065206545445,0.1355258357478206,0.1927385903542242,0.5756917459806695,4.0,3.0
SS,S2 only,RandomForest,log1p,False,114,modelscale_rmse_mean,0.7603577411840572,4.0,0.1544162650321677,4.0,0.551139138300342,4.0,48.475819650245946,43.69769210023913,20.38960277392065,0.0976613859952735,0.3801982116432519,0.551139138300342,-9.220832995077153,0.7603577411840572,0.1241258516795792,0.1544162650321677,0.551139138300342,6.0,4.0
SS,S2 only,ExtraTrees,log1p,False,114,modelscale_rmse_mean,0.7871103739634524,5.0,0.0942121245333387,5.0,0.5195537274101157,5.0,48.24148795556068,44.81318879097851,20.096894823236877,0.1250603447412438,0.3510432629937001,0.5195537274101157,-8.26520288777631,0.7871103739634524,0.1167384990408227,0.0942121245333387,0.5195537274101157,3.0,5.0
SS,S2 only,CatBoost,log1p,False,114,modelscale_rmse_mean,0.8089218434525213,6.0,0.0634509543137685,6.0,0.4387619224798494,6.0,48.46860997634145,45.05967524728735,20.7471190788888,0.1237992020707908,0.3308660720053464,0.4387619224798494,-8.831551290035636,0.8089218434525213,0.1495713200102995,0.0634509543137685,0.4387619224798494,5.0,6.0
SS,S2 only,XGBoost,log1p,False,114,modelscale_rmse_mean,0.8312581353813563,7.0,-0.0010163207068383,7.0,0.425324946079631,7.0,49.28196505932302,43.68465928584987,21.090847079923726,0.0496388087094506,0.3018001963589685,0.425324946079631,-8.432150137367294,0.8312581353813563,0.119287401871713,-0.0010163207068383,0.425324946079631,7.0,7.0
