target,feature_set,model,transform,n_test_sum,original_rmse_mean,original_rmse_std,original_mae_mean,original_r2_mean,original_pearson_r_mean,original_spearman_r_mean,original_bias_mean,modelscale_rmse_mean,modelscale_rmse_std,modelscale_r2_mean,modelscale_spearman_r_mean
DO,S2 only,Stacking_RidgeMeta,raw,114,1.256490580766526,0.11451421504018275,0.9879130456872302,-0.34131518417169165,0.2117612740484154,0.1989631916251442,-0.33212282385383257,1.256490580766526,0.11451421504018275,-0.34131518417169165,0.1989631916251442
DO,S2 only,XGBoost,raw,114,1.4293174842244074,0.1326220858440605,1.1455666833174858,-0.8869321327372433,0.19243171834384343,0.21989465175294984,-0.4936445353323953,1.4293174842244074,0.1326220858440605,-0.8869321327372433,0.21989465175294984
FCB,Context only,CatBoost,log1p,114,3228.894025966603,555.7901415332658,1557.5543314108938,-0.07618041128599166,0.1986818004913449,0.1668257133917035,-1021.9335682071895,2.0768156419281323,0.6432781324968581,-0.10738712485237976,0.1668257133917035
FCB,Context only,DummyMedian,log1p,114,3345.975997554122,647.3589179351396,1571.8274316473146,-0.15130237315260228,,,-1214.663796422861,2.0293723395975083,0.507771682754959,-0.06242554688972443,
FCB,Context only,ElasticNet,log1p,114,1520406.6728226903,1963778.3323206678,645833.2711422426,-380261.60696094105,-0.018961771406805484,-0.1395176871512717,643663.5554961782,4.800167162087021,1.8187414739947785,-5.440454264445257,-0.1395176871512717
FCB,Context only,ExtraTrees,log1p,114,3217.2795093334425,521.9317167643663,1578.1926301726007,-0.07028425905727827,0.21900712435177908,0.09995520516521937,-1055.4750522235693,2.12902388163615,0.6885854146477637,-0.15729680260909332,0.09995520516521937
FCB,Context only,RandomForest,log1p,114,3198.1187924647297,570.4476164704644,1527.83638158532,-0.05440185328626376,0.29522738212071636,0.2407459910041223,-1077.5738989425847,2.0592869939037852,0.5173490162226789,-0.09336694796296387,0.2407459910041223
FCB,Context only,Ridge,log1p,114,1881180.6932089385,3253455.654827814,914603.2629258744,-794948.7711644556,0.11438336714753054,0.008800092135195066,912278.2149347928,3.9552490511449783,2.488837073003532,-4.574431364488679,0.010101914601937089
FCB,Context only,Stacking_RidgeMeta,log1p,114,3305.187999014723,654.4587240698928,1692.5991150671136,-0.12288971583196613,0.07301595322903086,-0.07901809285586907,-968.6335206730569,2.289355534688628,0.7712107136655836,-0.3350388108721349,-0.07901809285586907
FCB,Context only,XGBoost,log1p,114,3180.6169301773893,543.5754454647739,1583.8191061315022,-0.04436284554706863,0.22852193973049262,0.1805974939055258,-924.5081988771448,2.1478514738690415,0.49909509480674125,-0.1941758255117629,0.1805974939055258
